#slot, chan, Athreshold, Awidth, peak_pos
#NINO threshold -1.905 V, PMT HV -700
0 0 200.000 7.000 0.000
0 1 76.703 0.003 0.000
0 2 96.821 13.116 154.668
0 3 93.080 15.443 174.346
0 4 95.447 16.549 194.482
0 5 87.098 19.217 208.842
0 6 62.738 17.913 252.437
0 7 56.219 15.508 187.379
0 8 89.670 14.134 163.083
0 9 94.852 16.744 251.563
0 10 99.931 16.939 292.542
0 11 96.099 15.746 207.676
0 12 75.433 15.562 217.724
0 13 94.144 15.723 216.892
0 14 92.062 14.088 203.735
0 15 85.323 14.917 160.802
