#slot, chan, Athreshold, Awidth, peak_pos
#NINO threshold -1.66 V, PMT HV -700
0 0 75 7 0
0 1 75 7 0
0 2 81.1689 13.4421 181.083
0 3 83.9468 12.9561 198.9
0 4 77.1284 10.9339 215
0 5 70.5942 10.6955 219.25
0 6 54.5807 6.91926 345.75
0 7 67.6147 7.28562 238.214
0 8 66.4515 8.54665 192.333
0 9 80.6644 15.1175 271
0 10 73.9964 9.86782 274.25
0 11 79.6435 11.8196 203
0 12 80.172 10.5864 245.25
0 13 53.2929 8.67586 168.5
